datetime,open,high,low,close,volume,dif,dea,hist,hist_pct,run_sign,run_bars,run_area,run_depth,prev_sign,prev_bars,prev_area,prev_depth,cross_up,cross_dn,neg_ok,pos_ok,buy_sig,sell_sig,neg_cluster_end,pos_cluster_end,in_session,entry_ok,eod,equity
2026-09-01 09:30:00,43.048,43.059,43.042,43.048,48627,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,False,False,False,False,False,False,False,False,True,True,False,1.0
2026-09-01 09:31:00,43.048,43.222,43.044,43.191,54143,0.011407407407411085,0.002281481481482217,0.009125925925928868,0.02112923045525426,1,1,0.02112923045525426,0.02112923045525426,0,0,0.0,0.0,True,False,False,False,False,False,False,False,True,True,False,1.0
2026-09-01 09:32:00,43.191,43.249,43.167,43.169,39888,0.01845985016355911,0.005517155217897596,0.012942694945661515,0.02998145647492765,1,2,0.051110686930181906,0.02998145647492765,1,1,0.02112923045525426,0.02112923045525426,False,False,False,False,False,False,False,False,True,True,False,1.0
2026-09-01 09:33:00,43.169,43.272,43.146,43.22,24502,0.027843275682890578,0.009982379310896194,0.017860896371994384,0.041325535335479835,1,3,0.09243622226566174,0.041325535335479835,1,2,0.051110686930181906,0.02998145647492765,False,False,False,False,False,False,False,False,True,True,False,1.0
2026-09-01 09:34:00,43.22,43.391,43.194,43.39,5032,0.048438913617602,0.017673686172237357,0.03076522744536464,0.07090395815940226,1,4,0.16334018042506399,0.07090395815940226,1,3,0.09243622226566174,0.041325535335479835,False,False,False,False,False,False,False,False,True,True,False,1.0
2026-09-01 09:35:00,43.39,43.395,43.298,43.308,10778,0.05748177623177497,0.02563530418414488,0.031846472047630095,0.07353484817500253,1,5,0.2368750286000665,0.07353484817500253,1,4,0.16334018042506399,0.07090395815940226,False,False,False,True,False,False,False,False,True,True,False,1.0
2026-09-01 09:36:00,43.308,43.493,43.296,43.453,22286,0.0754785286932389,0.03560394908596369,0.03987457960727521,0.09176484847369619,1,6,0.3286398770737627,0.09176484847369619,1,5,0.2368750286000665,0.07353484817500253,False,False,False,True,False,False,False,False,True,True,False,1.0
2026-09-01 09:37:00,43.453,43.537,43.432,43.534,39114,0.09517993271639114,0.047519145812049184,0.04766078690434195,0.10947945721583578,1,7,0.4381193342895985,0.10947945721583578,1,6,0.3286398770737627,0.09176484847369619,False,False,False,True,False,False,False,False,True,True,False,1.0
2026-09-01 09:38:00,43.534,43.56,43.479,43.488,41272,0.10586131840158686,0.05918758032995672,0.04667373807163014,0.10732555664006195,1,8,0.5454448909296604,0.10947945721583578,1,7,0.4381193342895985,0.10947945721583578,False,False,False,True,False,False,False,False,True,True,False,1.0
2026-09-01 09:39:00,43.488,43.516,43.478,43.513,11987,0.11501783062328741,0.07035363038862286,0.04466420023466455,0.1026456466680407,1,9,0.6480905375977011,0.10947945721583578,1,8,0.5454448909296604,0.10947945721583578,False,False,False,True,False,False,False,False,True,True,False,1.0
